support,itemsets,combo_size,combo
0.08813177049516455,"frozenset({'HanoiStreet RP-79', 'HanoiStreet RP-80'})",2,HanoiStreet RP-79 + HanoiStreet RP-80
0.044031712401325904,"frozenset({'HanoiStreet RP-21', 'HanoiStreet RP-22'})",2,HanoiStreet RP-21 + HanoiStreet RP-22
0.04211803301096948,"frozenset({'MekongFit RP-31', 'MekongFit RP-32'})",2,MekongFit RP-31 + MekongFit RP-32
0.041332057547073094,"frozenset({'HanoiStreet RP-48', 'HanoiStreet RP-47'})",2,HanoiStreet RP-47 + HanoiStreet RP-48
0.03852988415405119,"frozenset({'HanoiStreet RP-82', 'HanoiStreet RP-81'})",2,HanoiStreet RP-81 + HanoiStreet RP-82
0.03574479718415747,"frozenset({'HanoiStreet RP-50', 'HanoiStreet RP-49'})",2,HanoiStreet RP-49 + HanoiStreet RP-50
0.030960598708266413,"frozenset({'HanoiStreet RP-73', 'HanoiStreet RP-74'})",2,HanoiStreet RP-73 + HanoiStreet RP-74
0.029046919317909987,"frozenset({'VietMotion RP-15', 'VietMotion RP-16'})",2,VietMotion RP-15 + VietMotion RP-16
0.0288418822403718,"frozenset({'VietMotion RP-22', 'VietMotion RP-21'})",2,VietMotion RP-21 + VietMotion RP-22
0.028090079622731776,"frozenset({'HanoiStreet RP-65', 'HanoiStreet RP-66'})",2,HanoiStreet RP-65 + HanoiStreet RP-66
0.026825684311246285,"frozenset({'HanoiStreet RP-70', 'HanoiStreet RP-69'})",2,HanoiStreet RP-69 + HanoiStreet RP-70
0.026774425041861737,"frozenset({'VietMotion RP-52', 'VietMotion RP-51'})",2,VietMotion RP-51 + VietMotion RP-52
0.025612548269145337,"frozenset({'HanoiStreet RP-51', 'HanoiStreet RP-52'})",2,HanoiStreet RP-51 + HanoiStreet RP-52
0.02263951064484161,"frozenset({'VietMotion RP-10', 'VietMotion RP-09'})",2,VietMotion RP-09 + VietMotion RP-10
0.018743806171616036,"frozenset({'HanoiStreet RP-13', 'HanoiStreet RP-14'})",2,HanoiStreet RP-13 + HanoiStreet RP-14
0.01754775655264327,"frozenset({'HanoiStreet RP-67', 'HanoiStreet RP-68'})",2,HanoiStreet RP-67 + HanoiStreet RP-68
0.01718894166695144,"frozenset({'HanoiStreet RP-46', 'HanoiStreet RP-45'})",2,HanoiStreet RP-45 + HanoiStreet RP-46
0.01681304035813143,"frozenset({'VietMotion RP-33', 'VietMotion RP-34'})",2,VietMotion RP-33 + VietMotion RP-34
0.01676178108874688,"frozenset({'VietMotion RP-50', 'VietMotion RP-49'})",2,VietMotion RP-49 + VietMotion RP-50
0.016471311895567782,"frozenset({'HanoiStreet RP-24', 'HanoiStreet RP-23'})",2,HanoiStreet RP-23 + HanoiStreet RP-24
0.0155828178929023,"frozenset({'VietMotion RP-31', 'VietMotion RP-32'})",2,VietMotion RP-31 + VietMotion RP-32
0.01542904008474866,"frozenset({'VietMotion RP-12', 'VietMotion RP-11'})",2,VietMotion RP-11 + VietMotion RP-12
0.014403854697057718,"frozenset({'VietMotion RP-36', 'VietMotion RP-35'})",2,VietMotion RP-35 + VietMotion RP-36
0.013002768000546765,"frozenset({'MekongFit RP-44', 'MekongFit RP-43'})",2,MekongFit RP-43 + MekongFit RP-44
0.012763558076752213,"frozenset({'VietMotion RP-04', 'VietMotion RP-03'})",2,VietMotion RP-03 + VietMotion RP-04
0.012609780268598571,"frozenset({'HanoiStreet RP-56', 'HanoiStreet RP-55'})",2,HanoiStreet RP-55 + HanoiStreet RP-56
0.011413730649625807,"frozenset({'VietMotion RP-59', 'VietMotion RP-60'})",2,VietMotion RP-59 + VietMotion RP-60
0.010730273724498514,"frozenset({'MekongFit RP-07', 'MekongFit RP-08'})",2,MekongFit RP-07 + MekongFit RP-08
0.010679014455113966,"frozenset({'UrbanVN RP-50', 'UrbanVN RP-49'})",2,UrbanVN RP-49 + UrbanVN RP-50
0.010149335338140313,"frozenset({'UrbanVN RP-39', 'UrbanVN RP-40'})",2,UrbanVN RP-39 + UrbanVN RP-40
0.009773434029320302,"frozenset({'UrbanVN RP-10', 'UrbanVN RP-09'})",2,UrbanVN RP-09 + UrbanVN RP-10
0.00968800191367939,"frozenset({'VietMode RP-10', 'VietMode RP-09'})",2,VietMode RP-09 + VietMode RP-10
0.007176297713836585,"frozenset({'VietMotion RP-02', 'VietMotion RP-01'})",2,VietMotion RP-01 + VietMotion RP-02
0.006937087790042032,"frozenset({'MekongFit RP-23', 'MekongFit RP-24'})",2,MekongFit RP-23 + MekongFit RP-24
0.006766223558760209,"frozenset({'UrbanVN RP-18', 'UrbanVN RP-17'})",2,UrbanVN RP-17 + UrbanVN RP-18
0.006321976557427468,"frozenset({'VietMode RP-84', 'VietMode RP-83'})",2,VietMode RP-83 + VietMode RP-84
0.006270717288042921,"frozenset({'MekongFit RP-12', 'MekongFit RP-11'})",2,MekongFit RP-11 + MekongFit RP-12
0.0059973345179920035,"frozenset({'HanoiStreet RP-04', 'HanoiStreet RP-03'})",2,HanoiStreet RP-03 + HanoiStreet RP-04
0.005621433209171992,"frozenset({'MekongFit RP-04', 'MekongFit RP-03'})",2,MekongFit RP-03 + MekongFit RP-04
0.005296791169736527,"frozenset({'HanoiStreet RP-18', 'HanoiStreet RP-17'})",2,HanoiStreet RP-17 + HanoiStreet RP-18
0.005160099784711068,"frozenset({'MekongFit RP-40', 'MekongFit RP-39'})",2,MekongFit RP-39 + MekongFit RP-40
0.00502340839968561,"frozenset({'MekongFit RP-06', 'MekongFit RP-05'})",2,MekongFit RP-05 + MekongFit RP-06
0.004869630591531969,"frozenset({'VietMotion RP-47', 'VietMotion RP-48'})",2,VietMotion RP-47 + VietMotion RP-48
0.0048012848990192395,"frozenset({'UrbanVN RP-37', 'UrbanVN RP-38'})",2,UrbanVN RP-37 + UrbanVN RP-38
0.004459556436455592,"frozenset({'VietMode RP-25', 'VietMode RP-26'})",2,VietMode RP-25 + VietMode RP-26
0.004408297167071046,"frozenset({'VietMotion RP-19', 'VietMotion RP-20'})",2,VietMotion RP-19 + VietMotion RP-20
0.004391210743942863,"frozenset({'VietMode RP-17', 'VietMode RP-18'})",2,VietMode RP-17 + VietMode RP-18
0.004322865051430134,"frozenset({'MekongFit RP-41', 'MekongFit RP-42'})",2,MekongFit RP-41 + MekongFit RP-42
